City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Labuan,MY,2021-01-26 20:43:20,5.2767,115.2417,77.0,94,40,7.38
225,Seoul,KR,2021-01-26 20:43:20,37.5683,126.9778,33.8,64,0,1.14
226,Outlook,CA,2021-01-26 20:43:20,51.5001,-107.0513,-0.99,77,83,19.57
227,Kysyl-Syr,RU,2021-01-26 20:43:20,63.8986,122.7617,-52.38,76,58,3.78
228,La Ronge,CA,2021-01-26 20:43:21,55.1001,-105.2842,-20.2,69,37,3.44
229,Kavaratti,IN,2021-01-26 20:43:21,10.5669,72.642,80.78,68,2,10.02
230,Sanmenxia,CN,2021-01-26 20:43:21,34.7747,111.1814,38.1,64,100,4.76
231,Carberry,CA,2021-01-26 20:43:22,49.8689,-99.3602,-11.2,70,20,2.3
232,Chapais,CA,2021-01-26 20:43:22,49.7834,-74.8492,17.6,73,75,3.44
233,Tual,ID,2021-01-26 20:43:22,-5.6667,132.75,83.28,77,100,22.53
234,Isangel,VU,2021-01-26 20:43:23,-19.55,169.2667,80.6,83,75,21.23
235,Trinidad,BO,2021-01-26 20:43:23,-14.8333,-64.9,78.8,94,90,5.75
236,Khorixas,NA,2021-01-26 20:43:23,-20.3667,14.9667,68.43,72,70,9.19
237,Port Elizabeth,ZA,2021-01-26 20:39:03,-33.918,25.5701,68.0,94,75,9.22
238,Karpathos,GR,2021-01-26 20:43:24,35.507,27.2132,62.6,77,100,21.85
239,Yumen,CN,2021-01-26 20:41:44,40.2833,97.2,19.53,77,0,29.08
240,Trebur,DE,2021-01-26 20:43:24,49.9311,8.4161,36.0,75,20,9.22
241,Kraksaan,ID,2021-01-26 20:43:24,-7.7585,113.3962,77.31,76,99,3.98
242,Usinsk,RU,2021-01-26 20:43:25,65.9939,57.5281,-20.18,84,100,12.97
243,Podgornoye,RU,2021-01-26 20:43:25,51.735,39.1496,33.8,100,90,13.42
244,Port Lincoln,AU,2021-01-26 20:43:25,-34.7333,135.8667,62.26,73,98,14.32
245,Pangai,TO,2021-01-26 20:43:25,-19.8,-174.35,78.8,83,75,2.3
246,Hambantota,LK,2021-01-26 20:43:19,6.1241,81.1185,73.04,76,100,15.48
247,Zyryanka,RU,2021-01-26 20:43:26,65.75,150.85,-31.14,83,100,8.52
248,Marsh Harbour,BS,2021-01-26 20:43:26,26.5412,-77.0636,76.42,74,45,11.63
249,Rawson,AR,2021-01-26 20:39:40,-43.3002,-65.1023,67.59,34,86,14.0
250,Kushima,JP,2021-01-26 20:43:27,31.4583,131.2333,53.38,89,55,6.42
251,Mitu,CO,2021-01-26 20:33:30,1.1983,-70.1733,78.58,94,100,3.42
252,Esperance,AU,2021-01-26 20:43:27,-33.8667,121.9,60.8,82,100,13.8
253,Palu,ID,2021-01-26 20:43:27,-0.8917,119.8707,74.59,76,100,2.04
254,Setermoen,NO,2021-01-26 20:43:28,68.861,18.3486,-0.4,85,0,2.3
255,Olafsvik,IS,2021-01-26 20:43:28,64.8945,-23.7142,26.22,87,100,22.24
256,Palmer,US,2021-01-26 20:40:10,42.1584,-72.3287,30.0,86,90,5.06
257,Udimskiy,RU,2021-01-26 20:43:29,61.1417,45.9144,26.91,98,94,6.35
258,Evensk,RU,2021-01-26 20:43:29,61.95,159.2333,0.12,87,99,12.41
259,Kirovskiy,RU,2021-01-26 20:43:29,45.0917,133.5136,5.83,94,93,4.97
260,Nelson Bay,AU,2021-01-26 20:43:30,-32.7167,152.15,77.0,83,75,16.11
261,Antalaha,MG,2021-01-26 20:43:30,-14.9003,50.2788,75.54,86,100,4.23
262,Husavik,IS,2021-01-26 20:43:30,66.0449,-17.3389,23.0,80,90,4.61
263,Lima,PE,2021-01-26 20:43:23,-12.0432,-77.0282,75.2,64,0,13.8
264,Nyrob,RU,2021-01-26 20:43:31,60.733,56.7202,22.69,98,100,6.44
265,Hithadhoo,MV,2021-01-26 20:43:31,-0.6,73.0833,78.67,84,71,11.03
266,Barinas,VE,2021-01-26 20:43:31,8.6226,-70.2075,89.71,36,0,7.74
267,Victor Harbor,AU,2021-01-26 20:43:31,-35.5667,138.6167,60.01,75,4,1.01
268,Klyuchi,RU,2021-01-26 20:43:32,52.2667,79.1667,20.37,97,100,13.06
269,Tahe,CN,2021-01-26 20:43:32,52.3333,124.7333,-13.18,88,100,4.5
270,Alofi,NU,2021-01-26 20:39:37,-19.0595,-169.9187,77.0,94,90,6.91
271,Kavieng,PG,2021-01-26 20:43:32,-2.5744,150.7967,83.57,72,85,8.46
272,Komsomolskiy,UZ,2021-01-26 20:43:33,40.4272,71.7189,24.8,74,0,6.91
273,Luba,GQ,2021-01-26 20:43:33,3.4568,8.5547,80.6,100,20,9.22
274,Tiksi,RU,2021-01-26 20:43:12,71.6872,128.8694,-36.49,84,99,2.39
275,Portland,US,2021-01-26 20:39:08,45.5234,-122.6762,41.0,65,75,19.57
276,Aden,YE,2021-01-26 20:43:34,12.7794,45.0367,74.57,73,91,12.1
277,Nemuro,JP,2021-01-26 20:43:34,43.3236,145.575,31.48,97,100,19.39
278,Kibala,TD,2021-01-26 20:43:34,9.1104,18.3463,77.0,38,0,3.51
279,La Paz,BO,2021-01-26 20:43:35,-16.5,-68.15,57.2,38,75,8.05
280,Kieta,PG,2021-01-26 20:43:35,-6.2167,155.6333,81.21,80,100,7.76
281,Petropavlovsk-Kamchatskiy,RU,2021-01-26 20:43:35,53.0452,158.6483,23.0,58,100,15.66
282,La Macarena,CO,2021-01-26 20:43:35,2.1837,-73.7849,86.95,53,27,6.69
283,Te Anau,NZ,2021-01-26 20:43:36,-45.4167,167.7167,63.14,78,99,8.63
284,Omsukchan,RU,2021-01-26 20:43:36,62.5333,155.8,-27.35,83,100,4.94
